organism,project,ena-sample_accession,study,sample_id,pooled,Number,ari_study,study_code,date,extraction,udg_PCR_run1,udg_PCR_run2,udg_PCR_run3_interp,udg_PCR_run1_interp,extraction.1,udg_PCR_run2_interp,udg_PCR_run3,qubit_HS_ngul,dilution_for_qubit,init_lib_conc,cap_lib_conc,Lib,max_ct
mycoplasma,PRJEB50096,ERS9968704,ERP134774,08B07531_S87,0,29,ARI study,ARI-0498,13-Oct-08,Promega,21.9,28.78,NA,Pos,Same,Pos,NA,1.39,1_2,38.5,0.722,MAM_Lib_1,28.78
mycoplasma,PRJEB50097,ERS9968705,ERP134774,08B07900_S82,0,30,ARI study,ARI-0498,18-Oct-08,Promega,22.71,27.83,NA,Pos,Same,Pos,NA,2.02,1_2,45,1.37,MAM_Lib_1,27.83
mycoplasma,PRJEB50098,ERS9968706,ERP134774,08B08150_S17,1,NA,ARI study,ARI-0024,25-Oct-08,Promega,33.75,33.02,NA,Pos,Same,Pos,NA,1.97,1_3,34.8,1.08,Mam_Lib_3,33.75
mycoplasma,PRJEB50099,ERS9968707,ERP134774,08B08223_S59,0,17,ARI study,ARI-0352,26-Oct-08,Promega,31.26,31.2,NA,Pos,Same,Pos,NA,1.9,1_2,28.2,0.716,MAM_Lib_1,31.26
mycoplasma,PRJEB50100,ERS9968708,ERP134774,09B03105_S60,0,18,ARI study,ARI-0352,27-Mar-09,Promega,26.38,26.15,NA,Pos,Same,Pos,NA,11.5,1_2,29.9,1.02,MAM_Lib_1,26.38
mycoplasma,PRJEB50101,ERS9968709,ERP134774,09B03871_S62,0,20,ARI study,ARI-0471,20-Apr-09,Promega,25.27,23.64,NA,Pos,Same,Pos,NA,4.06,1_2,33.9,1.54,MAM_Lib_1,25.27
mycoplasma,PRJEB50102,ERS9968710,ERP134774,09B04230_S55,0,35,ARI study,ARI-0571,28-Apr-09,Promega,24.42,24.45,NA,Pos,Same,Pos,NA,3.62,1_2,29.3,3.34,MAM_Lib_2,24.45
mycoplasma,PRJEB50103,ERS9968711,ERP134774,09B04400_S74,0,26,ARI study,ARI-0473,02-May-09,Promega,27.8,27.41,NA,Pos,Same,Pos,NA,0.78,1_2,20.9,0.662,MAM_Lib_1,27.8
mycoplasma,PRJEB50104,ERS9968712,ERP134774,09B04923_S63,0,21,ARI study,ARI-0471,16-May-09,Promega,25.64,25.4,NA,Pos,Same,Pos,NA,13.1,1_2,30.6,1.95,MAM_Lib_1,25.64
mycoplasma,PRJEB50105,ERS9968713,ERP134774,09B05223_S75,0,27,ARI study,ARI-0473,25-May-09,Promega,28.01,27.69,NA,Pos,Same,Pos,NA,5.26,1_2,29.9,2.24,MAM_Lib_1,28.01
mycoplasma,PRJEB50106,ERS9968714,ERP134774,09B05312_S56,0,36,ARI study,ARI-0571,27-May-09,Promega,26.06,25.51,NA,Pos,Same,Pos,NA,12,1_2,26.7,0.922,MAM_Lib_2,26.06
mycoplasma,PRJEB50107,ERS9968715,ERP134774,09B05333_S70,0,22,ARI study,ARI-0471,27-May-09,Promega,25.06,25.27,NA,Pos,Same,Pos,NA,4.04,1_2,31.1,2.42,MAM_Lib_1,25.27
mycoplasma,PRJEB50108,ERS9968716,ERP134774,09B05567_S18,1,NA,ARI study,ARI-0024,04-Jun-09,Promega,32.75,32.52,NA,Pos,Same,Pos,NA,0.342,1_3,7.69,1.08,Mam_Lib_3,32.75
mycoplasma,PRJEB50109,ERS9968717,ERP134774,09B05813_S57,0,37,ARI study,ARI-0571,09-Jun-09,Promega,24.85,24.8,NA,Pos,Same,Pos,NA,5.17,1_2,32.2,2.9,MAM_Lib_2,24.85
mycoplasma,PRJEB50110,ERS9968718,ERP134774,09B06142_S47,0,5,ARI study,ARI-0024,19-Jun-09,Promega,31.1,30.83,NA,Pos,Same,Pos,NA,16.4,1_2,32.3,0.998,MAM_Lib_1,31.1
mycoplasma,PRJEB50111,ERS9968719,ERP134774,09B07585_S52,0,11,ARI study,ARI-0247,27-Jul-09,Promega,30.18,30.02,34,Pos,Same,Pos,NA,3.55,1_2,28.5,0.488,MAM_Lib_2,30.18
mycoplasma,PRJEB50112,ERS9968720,ERP134774,09B08129_S53,0,12,ARI study,ARI-0247,08-Aug-09,Promega,31.14,31.03,11,Pos,Same,Pos,NA,4.95,1_2,20.1,0.552,MAM_Lib_2,31.14
mycoplasma,PRJEB50113,ERS9968721,ERP134774,09B10127_S48,0,7,ARI study,ARI-0233,28-Sep-09,Promega,28.45,28.71,NA,Pos,Same,Pos,NA,1.02,1_2,26.9,0.77,MAM_Lib_1,28.71
mycoplasma,PRJEB50114,ERS9968722,ERP134774,09B10514_S83,0,31,ARI study,ARI-0498,06-Oct-09,Promega,32.61,31.91,NA,Pos,Same,Pos,NA,4.14,1_2,42.1,1.83,MAM_Lib_1,32.61
mycoplasma,PRJEB50115,ERS9968723,ERP134774,09B11236_S84,0,32,ARI study,ARI-0498,21-Oct-09,Promega,29.27,29.26,NA,Pos,Same,Pos,NA,3.28,1_2,28.9,1.09,MAM_Lib_1,29.27
mycoplasma,PRJEB50116,ERS9968724,ERP134774,09B11424_S49,0,8,ARI study,ARI-0233,26-Oct-09,Promega,26.4,29.46,NA,Pos,Same,Pos,NA,8.42,1_2,28.6,0.53,MAM_Lib_1,29.46
mycoplasma,PRJEB50117,ERS9968725,ERP134774,09B11840_S79,0,50,ARI study,ARI-0926,04-Nov-09,Promega,27.56,26.91,NA,Pos,Same,Pos,NA,2.16,1_2,15.7,0.59,MAM_Lib_2,27.56
mycoplasma,PRJEB50118,ERS9968726,ERP134774,09B12007_S65,0,40,ARI study,ARI-0600,09-Nov-09,Promega,29.95,30.13,NA,Pos,Same,Pos,NA,3.06,1_2,19.9,0.262,MAM_Lib_2,30.13
mycoplasma,PRJEB50119,ERS9968727,ERP134774,09B12477_S80,0,51,ARI study,ARI-0926,18-Nov-09,Promega,19.14,20.25,NA,Pos,Same,Pos,NA,17.8,1_2,27.3,3.12,MAM_Lib_2,20.25
mycoplasma,PRJEB50120,ERS9968728,ERP134774,09B13235_S19,0,NA,ARI study,ARI-0024,08-Dec-09,Promega,33.43,33.1,NA,Pos,Same,Pos,NA,0.708,1_3,14.85,1.08,Mam_Lib_3,33.43
mycoplasma,PRJEB50121,ERS9968729,ERP134774,09B13397_S66,0,41,ARI study,ARI-0600,12-Dec-09,Promega,30.24,30.47,NA,Pos,Same,Pos,NA,3.81,1_2,21.9,0.384,MAM_Lib_2,30.47
mycoplasma,PRJEB50122,ERS9968730,ERP134774,09B13724_S67,0,42,ARI study,ARI-0600,21-Dec-09,Promega,29.75,29.62,NA,Pos,Same,Pos,NA,8.14,1_2,26.1,0.416,MAM_Lib_2,29.75
mycoplasma,PRJEB50123,ERS9968731,ERP134774,10B00844_S54,0,13,ARI study,ARI-0247,26-Jan-10,Promega,31.94,32.12,NA,Pos,Same,Pos,NA,ND,1_2,4.64,0.192,MAM_Lib_2,32.12
mycoplasma,PRJEB50124,ERS9968732,ERP134774,10B00921_S50,0,9,ARI study,ARI-0233,28-Jan-10,Promega,26.13,28.76,NA,Pos,Same,Pos,NA,5.22,1_2,31.1,1,MAM_Lib_1,28.76
mycoplasma,PRJEB50125,ERS9968733,ERP134774,10B01749_S64,0,38,ARI study,ARI-0571,23-Feb-10,Promega,31.4,31.37,NA,Pos,Same,Pos,NA,1.06,1_2,10.4,0.364,MAM_Lib_2,31.4
mycoplasma,PRJEB50126,ERS9968734,ERP134774,10B02215_S61,0,19,ARI study,ARI-0352,08-Mar-10,Promega,28.29,28.35,NA,Pos,Same,Pos,NA,2.96,1_2,36.6,0.712,MAM_Lib_1,28.35
mycoplasma,PRJEB50127,ERS9968735,ERP134774,10B03149_S85,0,33,ARI study,ARI-0498,07-Apr-10,Promega,30.93,30.51,NA,Pos,Same,Pos,NA,0.46,1_2,17.6,0.186,MAM_Lib_1,30.93
mycoplasma,PRJEB50128,ERS9968736,ERP134774,10B03341_S71,0,23,ARI study,ARI-0471,16-Apr-10,Promega,25.24,26.96,NA,Pos,Same,Pos,NA,12.2,1_2,33.5,1.71,MAM_Lib_1,26.96
mycoplasma,PRJEB50129,ERS9968737,ERP134774,10B03623_S86,0,28,ARI study,ARI-0473,27-Apr-10,Promega,28.13,28.06,NA,Pos,Same,Pos,NA,0.926,1_2,33,1.01,MAM_Lib_1,28.13
mycoplasma,PRJEB50130,ERS9968738,ERP134774,10B04567_S81,0,52,ARI study,ARI-0926,07-Jun-10,Promega,28.99,29.22,NA,Pos,Same,Pos,NA,5.38,1_2,23.2,0.442,MAM_Lib_2,29.22
mycoplasma,PRJEB50131,ERS9968739,ERP134774,10B04745_S88,0,53,ARI study,ARI-0926,14-Jun-10,Promega,21.38,22.05,NA,Pos,Same,Pos,NA,8.79,1_2,22.2,1.14,MAM_Lib_2,22.05
mycoplasma,PRJEB50132,ERS9968740,ERP134774,10B05371_S68,0,43,ARI study,ARI-0600,12-Jul-10,Promega,29.24,29.53,NA,Pos,Same,Pos,NA,1.95,1_2,17.4,0.414,MAM_Lib_2,29.53
mycoplasma,PRJEB50133,ERS9968741,ERP134774,10B05468_S69,0,46,ARI study,ARI-0746,16-Jul-10,Promega,21.94,26.12,NA,Pos,Same,Pos,NA,2.7,1_2,21.7,1.43,MAM_Lib_2,26.12
mycoplasma,PRJEB50134,ERS9968742,ERP134774,10B06036_S76,0,47,ARI study,ARI-0746,16-Aug-10,Promega,26.36,27.32,NA,Pos,Same,Pos,NA,3.87,1_2,20,0.696,MAM_Lib_2,27.32
mycoplasma,PRJEB50135,ERS9968743,ERP134774,10B06532_S77,0,48,ARI study,ARI-0746,10-Sep-10,Promega,27.01,26.87,NA,Pos,Same,Pos,NA,9.57,1_2,17.1,0.97,MAM_Lib_2,27.01
mycoplasma,PRJEB50136,ERS9968744,ERP134774,10B06604_S78,0,49,ARI study,ARI-0746,16-Sep-10,Promega,32.02,32.92,NA,Pos,Same,Pos,NA,6.5,1_2,20.5,0.484,MAM_Lib_2,32.92
mycoplasma,PRJEB50137,ERS9968745,ERP134774,10B07249_S89,0,54,ARI study,ARI-0926,04-Nov-10,Promega,30.32,31.18,NA,Pos,Same,Pos,NA,7.64,1_2,19,0.326,MAM_Lib_2,31.18
mycoplasma,PRJEB50138,ERS9968746,ERP134774,16P00665_S90,0,56,Flu serveillance,NPA,2016,MagCore (stored at -80°C),33.83,32.13,Pos,Pos,Promega,Pos,32.22,7.39,1_2,23.4,0.406,MAM_Lib_2,33.83
mycoplasma,PRJEB50139,ERS9968747,ERP134774,16P00684_S91,0,58,Flu serveillance,NPA,2016,MagCore (stored at -80°C),32.55,31.6,Pos,Pos,Promega,Pos,31.48,0.98,1_2,18.1,0.244,MAM_Lib_2,32.55
mycoplasma,PRJEB50140,ERS9968748,ERP134774,17P00199_S92,0,65,Flu serveillance,NPA,2017,MagCore (stored at -80°C),28.54,25.15,Pos,Pos,Promega,Pos,24.88,0.41,1_2,12.6,0.532,MAM_Lib_2,28.54
mycoplasma,PRJEB50141,ERS9968749,ERP134774,17P00326_S93,0,67,Flu serveillance,NPA,2017,MagCore (stored at -80°C),27.79,31.59,Pos,Pos,Promega,Pos,30.62,0.33,1_2,2.58,0.152,MAM_Lib_2,31.59
